itemId,group,display,demoAudioKey,demoFile,demoSha256,examples,sourceUrl,license,availability,reviewStatus
2138a595-9c69-5521-af2e-eba12092bd00,initial,b,bo1,Pinyin/bo1.wav,ff2f6eb2dd1fb554962077b9be60e0727f9b52f50bae9913200d5d913a52dbb8,八 (bā); 波浪 (bō làng); 播放 (bō fàng); 悲哀 (bēi āi); 杯子 (bēi zi); 包子 (bāo zi); 帮助 (bāng zhù); 八方 (bā fāng); 奔跑 (bēn pǎo); 拔 (bá); 雹子 (báo zi); 白鹅 (bái é); 提拔 (tí bá); 把 (bǎ); 彼此 (bǐ cǐ); 把手 (bǎ shou); 北方 (běi fāng); 宝贝 (bǎo bèi); 绑架 (bǎng jià); 宝塔 (bǎo tǎ); 爸 (bà); 爸爸 (bà ba); 不够 (bù gòu); 抱歉 (bào qiàn); 棒球 (bàng qiú); 笨重 (bèn zhòng),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-bo1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
4e3da023-76f4-596b-893b-c8381f03471a,initial,p,po1,Pinyin/po1.wav,8a521d2ba2ee08d7fd61b78e63f63145351d7240a7655bada76d9b6149a34c52,趴 (pā); 坡 (pō); 批评 (pī píng); 趴下 (pā xià); 山坡 (shān pō); 爬 (pá); 婆 (pó); 婆婆 (pó po); 苹果 (píng guǒ); 朋友 (péng you); 爬山 (pá shān); 跑 (pǎo); 跑步 (pǎo bù); 怕 (pà); 破 (pò); 破坏 (pò huài); 害怕 (hài pà),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-po1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
4c5578a1-f9d5-508f-9f11-2b3fff1d0974,initial,m,mo1,Pinyin/mo1.wav,c6f6afb9b06d15b154bfdebc98f264e0710a4edbd6d47bc0636d1fb931536261,妈 (mā); 妈妈 (mā ma); 抹布 (mā bù); 麻 (má); 麻木 (má mù); 蘑菇 (mó gu); 魔鬼 (mó guǐ); 马 (mǎ); 马车 (mǎ chē); 美好 (měi hǎo); 骂 (mà); 帽子 (mào zi); 责骂 (zé mà),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-mo1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
ba92fa86-b3a0-516d-99d3-abf19b0a4084,initial,f,fo1,Pinyin/fo1.wav,f5b973760ebc8564fac2db01958557c1e1b6fd9bc18a9e33889c2c2cf1ca6de0,发 (fā); 飞机 (fēi jī); 发票 (fā piào); 罚 (fá); 肥 (féi); 佛教 (fó jiào); 罚款 (fá kuǎn); 肥皂 (féi zào); 法 (fǎ); 办法 (bàn fǎ); 法律 (fǎ lǜ); 发 (fà); 播放 (bō fàng); 理发 (lǐ fà),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-fo1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
65a1cfe5-16d8-5da3-b6c3-08704d91ede0,initial,d,de1,Pinyin/de1.wav,00fbc04fba4d9531ffb74c084a4cde217fd4051aa9768042009eafdac46051b5,搭 (dā); 冬天 (dōng tiān); 搭配 (dā pèi); 叮嘱 (dīng zhǔ); 达 (dá); 达到 (dá dào); 打 (dǎ); 打扫 (dǎ sǎo); 顶点 (dǐng diǎn); 等待 (děng dài); 懂得 (dǒng de); 大 (dà); 地图 (dì tú); 电灯 (diàn dēng); 凳子 (dèng zi); 动物 (dòng wù); 电影 (diàn yǐng); 大门 (dà mén),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-de1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
bbe56128-3b7e-5287-ad4e-8bbe78e5240a,initial,t,te1,Pinyin/te1.wav,8934bd3fe277b9f119c3264d3c29c3104f1830862483ac19bed9b188a476abd8,他 (tā); 吞 (tūn); 天空 (tiān kōng); 他们 (tā men); 吞咽 (tūn yàn); 抬 (tái); 提拔 (tí bá); 谈话 (tán huà); 停止 (tíng zhǐ); 抬头 (tái tóu); 头晕 (tóu yūn); 塔 (tǎ); 讨论 (tǎo lùn); 宝塔 (bǎo tǎ); 踏 (tà); 兔子 (tù zi); 太阳 (tài yang); 踏步 (tà bù),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-te1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
5e386be4-7349-54a9-8c81-80837b0b0119,initial,n,ne1,Pinyin/ne1.wav,d3e08ed439bc7a66b82d3c65901ffeed972bdf3287e9e22509e648aa1d1d92da,捏 (niē); 捏造 (niē zào); 拿 (ná); 能 (néng); 南 (nán); 牛奶 (niú nǎi); 南方 (nán fāng); 能够 (néng gòu); 拿手 (ná shǒu); 哪 (nǎ); 奶奶 (nǎi nai); 扭转 (niǔ zhuǎn); 哪里 (nǎ lǐ); 那 (nà); 那边 (nà biān),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-ne1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
bf9c8692-9c48-5d67-be48-35da2772558a,initial,l,le1,Pinyin/le1.wav,7a522fbce6d9d623d1f726c1094e017d7f1de0d7e13ca90b8e5b33d10c554bb1,拉 (lā); 垃圾 (lā jī); 拉手 (lā shǒu); 溜冰 (liū bīng); 楼 (lóu); 来往 (lái wǎng); 楼房 (lóu fáng); 轮船 (lún chuán); 喇 (lǎ); 老师 (lǎo shī); 礼物 (lǐ wù); 理发 (lǐ fà); 柳树 (liǔ shù); 了解 (liǎo jiě); 喇叭 (lǎ ba); 辣 (là); 辣椒 (là jiāo); 历史 (lì shǐ); 六月 (liù yuè),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-le1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
d56f9a85-8802-5383-b675-b38a9536ecda,initial,g,ge1,Pinyin/ge1.wav,4f83c16f46b42227fbf8d76bfc33735e5ca0f35d510621dcea04cd08d5063c35,歌 (gē); 哥哥 (gē ge); 归还 (guī huán); 沟通 (gōu tōng); 根本 (gēn běn); 歌曲 (gē qǔ); 格 (gé); 格式 (gé shì); 葛 (gě); 苹果 (píng guǒ); 个 (gè); 告诉 (gào su); 贵重 (guì zhòng); 个别 (gè bié),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-ge1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
20ccd2a4-b92b-5e50-9902-173be0695e2f,initial,k,ke1,Pinyin/ke1.wav,176cd9755378d16f8d78b05a675827b7ff091d2ca41bda8319026b037a50664b,科 (kē); 科学 (kē xué); 咳 (ké); 咳嗽 (ké sou); 可 (kě); 可以 (kě yǐ); 课 (kè); 快乐 (kuài lè); 课本 (kè běn),https://github.com/hugolpz/audio-cmn/blob/ff9ed3d0c631195bd2c06f39450f3264c7124040/64k/syllabs/cmn-ke1.mp3,CC BY-SA (source does not specify version),PRESENT,NOT RUN
