# HanMate original AI-assisted learning examples; draft, independent review pending. Not dictionary publisher quotations.
学习	我们每天一起学习汉语。
学习	她喜欢学习新的知识。
汉语	他正在学习汉语。
字典	遇到不认识的字，可以查字典。
拼音	我用拼音练习汉字的读音。
你好	见到老师时，我说：“你好！”
你好	“你好，请问图书馆在哪里？”
一些	桌子上放着一些书。
一些	请给我一些时间。
一个	桌上有一个苹果。
一起	周末我们一起去公园。
一	我有一本故事书。
人	公园里有很多人。
好	今天天气很好。
好	这是一个好办法。
我	我喜欢看书。
你	你想喝水吗？
他	他每天走路去学校。
她	她正在给朋友写信。
我们	我们一起打扫教室。
朋友	我和朋友一起去图书馆。
老师	老师耐心地回答了我的问题。
学生	学生们在教室里读书。
学校	学校门口有两棵大树。
中国	中国有许多美丽的城市。
中文	她正在练习用中文写日记。
妈妈	妈妈正在厨房里做饭。
爸爸	爸爸陪我去公园散步。
奶奶	奶奶给我讲了一个故事。
哥哥	哥哥正在房间里看书。
姐姐	姐姐教我画了一朵花。
人民	人民的生活越来越好。
容易	这道题很容易。
容易	玻璃杯容易打碎，要轻轻地放。
天空	雨后的天空格外明亮。
兔子	小兔子在草地上跳来跳去。
太阳	太阳从东方升起来了。
牛奶	我每天早上喝一杯牛奶。
快乐	祝你生日快乐！
气球	孩子手里拿着一个红气球。
西瓜	夏天，我们喜欢吃西瓜。
蜘蛛	蜘蛛在树枝之间结了一张网。
春天	春天来了，花儿开了。
狮子	狮子在树荫下休息。
草地	孩子们在草地上踢足球。
森林	森林里生活着许多动物。
衣服	下雨了，快把衣服收进屋里。
月亮	今晚的月亮又大又圆。
耳朵	小兔子的耳朵很长。
飞机	飞机很快就飞上了天空。
礼物	这是朋友送给我的生日礼物。
苹果	桌子上有两个苹果。
地图	我们看着地图找到了车站。
冬天	这里的冬天经常下雪。
花朵	公园里的花朵开放了。
水	运动以后要喝水。
火	离开厨房前，要把火关好。
山	远处的山上有一座小亭子。
日	今天是一个特别的日子。
月	这个月我要读完两本书。
明天	明天我们去参观博物馆。
今天	今天的天气很暖和。
工作	他的工作是设计房屋。
喜欢	我喜欢在安静的地方看书。
认真	她认真地检查了自己的答案。
银行	我去银行办理业务。
音乐	这段音乐听起来很轻快。
行走	请在人行道上行走。
长大	小树在阳光下慢慢长大。
重要	请记住这个重要的日期。
重庆	他去年去重庆旅行。
阅读	每天阅读可以积累知识。
帮助	谢谢你帮助我。
谢谢	收到礼物后，我对朋友说：“谢谢！”
欢迎	欢迎你来我家做客。
