contentId,title,kind,source,textReview,pinyinReview,jaReview,enReview,audioStatus,releaseReady
aad9efcc-f575-5938-b112-eb763921a2d1,你好,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
88eca1f4-5e2e-5be5-ae3b-7fac3081fc06,学习,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
cfc0e94d-b118-56fc-9472-350acfacaf62,银行,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
0c7330d0-938c-57a0-8d14-2dd6048fe74c,行走,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
e3226df1-2d40-5d32-9ca0-c322220a379a,音乐,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
83e828ee-abac-52ec-a83a-8ec15b23963e,快乐,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
cf6a1d61-b2cf-5329-9ac8-36287a1c2f58,女儿,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
13ec59e6-f210-5513-939b-59ef6c597c21,绿色,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
7a593e75-304c-583f-88ae-10d07cc61bbd,西安,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
4d8dcfa7-2c21-5b0d-bbfe-5f0a6b6c7677,先,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
226bbb2a-93f0-50a4-aa5a-97d96c00454d,妈妈,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
38c2e2f9-d0f7-5167-813a-6e397ace6d13,花儿,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
c86c4420-efce-5da3-be32-47a3894fe6c5,麻木,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
8d0a92f0-f478-5242-933c-bc5ebc4de935,马上,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
d6e8df22-a1d9-5147-b2df-40e73b5caca9,骂人,word,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
9fc65df4-78d4-5d16-b5ea-4b3d3a40751e,一起学习,text,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
2383fe34-9063-525d-be5d-4ac059347a31,读书小句（原创测试）,poem,hanmate-planning-fixture-v2,draft,draft,draft,draft,not_provided,NO
f7d967d2-9c45-5eeb-b8d4-19d4939dc60d,“在”表示位置,grammar,grammar-location,draft,draft,draft,draft,not_provided,NO
b7f6b0a3-4a5b-5de3-a7c7-1f8be7735b10,“正在”表示进行,grammar,grammar-progressive,draft,draft,draft,draft,not_provided,NO
de13ed86-06ee-53c1-be85-151e85c16b3c,“比”用于比较,grammar,grammar-comparison,draft,draft,draft,draft,not_provided,NO
abce87d2-3137-5514-a42b-48a3632c9673,学习,word,lesson-word-study,draft,draft,draft,draft,not_provided,NO
1e4ca243-aa8a-5268-ab8c-90fafe2e3b86,中国,word,dict-china,draft,draft,draft,draft,not_provided,NO
971c6997-c0db-5d8f-beca-28d4aa5ff90b,中文,word,dict-chinese,draft,draft,draft,draft,not_provided,NO
714d701f-9047-5c04-9cdb-5943b1b85edf,学习,word,dict-study,draft,draft,draft,draft,not_provided,NO
